name,start_time,end_time,day,location
Storytime,11:00,11:45,Wednesday,Bunjil Place Library
Storytime,10:15,11:00,Monday,Pakenham Library
Storytime,11:15,12:00,Thursday,Emerald Library
Toddler Time,10:30,11:15,Tuesday,Cranbourne Library
Toddler Time,11:15,12:00,Tuesday,Bunjil Place Library
Baby Rhyme Time,10:30,11:00,Wednesday,Pakenham Library
Baby Rhyme Time,11:15,11:45,Monday,Emerald Library
Kids' Art Workshops,10:00,12:00,Tuesday,Cardinia Cultural Centre
LEGO Club,16:00,17:00,Thursday,Emerald Library
Toddler Time,11:15,11:45,Friday,Emerald Library
Storytime,11:15,12:00,Thursday,Emerald Library
LEGO Club,16:00,17:00,Thursday,Mirboo North Library
Toddler Time,11:00,11:30,Tuesday,Pakenham Library
LEGO Play,15:30,16:30,Friday,Leongatha Library
Storytime,11:00,11:45,Wednesday,Korumburra Library
Storytime,10:30,11:15,Wednesday,Leongatha Library
Baby Rhyme Time,11:00,11:30,Tuesday,Leongatha Library
Storytime,11:00,11:45,Thursday,Pakenham Library
Homework Support,16:00,17:00,Wednesday,Pakenham Library
Storytime,10:30,11:15,Tuesday,Inverloch Library
Baby Rhyme Time,11:30,12:00,Tuesday,Inverloch Library
Storytime,11:00,11:45,Thursday,Foster Library
Storytime,10:30,11:15,Wednesday,Warragul Library
Baby Rhyme Time,10:30,11:00,Tuesday,Mirboo North Library
Baby Rhyme Time,10:30,11:00,Wednesday,Wonthaggi Library
Magic of Storytime,11:00,12:00,Friday,Portland Library
Heywood Rhythm & Rhymes Road Trip,10:30,11:15,Tuesday,Heywood Library
Casterton Rhythm & Rhymes Road Trip,10:00,10:45,Thursday,Casterton Masonic Lodge (Playgroup Building)
Portland Rhymetime,11:00,11:30,Tuesday,Portland Library
Storytime,11:00,12:00,Friday,Portland Library
