State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Bayside Council,Story Time,teddy_book,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5.",3 - 5 years,Thursday,10:30am - 11:00am,Arncliffe Library,"11 Firth St, Arncliffe NSW 2205",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Wednesday,10:30am - 11:00am,Bexley North Library,"24 Shaw St, Bexley North NSW 2207",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. ",1.5 - 3 years,Thursday,10:30am - 11:00am,Bexley North Library,"24 Shaw St, Bexley North NSW 2207",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Story Time,teddy_book,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5.",3 - 5 years,Tuesday,10:30am - 11:00am,Bexley North Library,"24 Shaw St, Bexley North NSW 2207",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348 ,0 - 1.5 years,Thursday,10:30am - 11:00am,Eastgardens Library,"152 Bunnerong Rd, Eastgardens NSW 2036",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348",1.5 - 3 years,Tuesday,10:30am - 11:00am,Eastgardens Library,"152 Bunnerong Rd, Eastgardens NSW 2036",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Story Time,,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348",3 - 5 years,Wednesday,10:30am - 11:00am,Eastgardens Library,"152 Bunnerong Rd, Eastgardens NSW 2036",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Thursday,10:30am - 11:00am,Mascot Library,"2 Hatfield St, Mascot NSW 2020",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. ",1.5 - 3 years,Tuesday,10:30am - 11:00am,Mascot Library,"2 Hatfield St, Mascot NSW 2020",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Story Time,teddy_book,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5.",3 - 5 years,Wednesday,10:30am - 11:00am,Mascot Library,"2 Hatfield St, Mascot NSW 2020",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Thursday,10:30am - 11:00am,Sans Souci Library,"104 Russell Ave, Sans Souci NSW 2219",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. ",1.5 - 3 years,Tuesday,10:30am - 11:00am,Sans Souci Library,"104 Russell Ave, Sans Souci NSW 2219",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Story Time,teddy_book,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5.",3 - 5 years,Wednesday,10:30am - 11:00am,Sans Souci Library,"104 Russell Ave, Sans Souci NSW 2219",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348 ,0 - 1.5 years,Wednesday,10:30am - 11:00am,Rockdale Library,"444/446 Princes Hwy, Rockdale NSW 2216",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348",1.5 - 3 years,Thursday,10:30am - 11:00am,Rockdale Library,"444/446 Princes Hwy, Rockdale NSW 2216",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Story Time,teddy_book,"45 minutes of stories, songs and craft for pre-schoolers aged 3-5. Bookings essential https://www.eventbrite.com.au/o/bayside-library-official-2668312348",3 - 5 years,Tuesday,10:30am - 11:00am,Rockdale Library,"444/446 Princes Hwy, Rockdale NSW 2216",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age. Booking required on the day from 9:30am",3 - 5 years,Thursday,11:00am - 12:00pm,Bankstown Library and Knowledge Centre,"80 Rickard Road, Bankstown NSW 2200",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age.  No bookings required.",3 - 5 years,Thursday,11:00am - 12:00pm,Campsie Library and Knowledge Centre,"14/28 Amy Street, Campsie NSW 2194",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age. Booking required on the day from 9:30am",2 - 5 years,Tuesday,11:00am - 12:00pm,Chester Hill Library and Knowledge Centre,"12 Chester Hill Road, Chester Hill NSW 2162",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age.  No bookings required.",2 - 5 years,Wednesday,10:30am - 11:30am,Earlwood Library and Knowledge Centre,"Corner William Street &, Homer Street, Earlwood NSW 2206",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age.  No bookings required.",2 - 5 years,Thursday,11:00am - 12:00pm,Greenacre Library and Knowledge Centre,"Community Pl, Greenacre NSW 2190",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age.  No bookings required.",2 - 5 years,Wednesday,11:00am - 12:00pm,Lakemba Library and Knowledge Centre,"62 The Boulevarde, Lakemba NSW 2195",AEDT,Not available in school holidays or public holidays
NSW,Canterbury-Bankstown Council,Preschool Story Time,teddy_book,"These sessions are in English and include stories, songs and activities aimed at encouraging literacy and a love of reading from an early age. Booking required on the day from 9:30am",2 - 5 years,Tuesdays and Thursday,11:00am - 12:00pm,Padstow Library and Knowledge Centre,"132 Cahors Road, Padstow NSW 2211",AEDT,Not available in school holidays or public holidays
