State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Sutherland Shire Council,Rhyme Time,infant_session,"Rhymetime is a fun, free and interactive session that helps to promote your child’s early language skills and literacy through simple stories, singing rhymes and finger puppet play.",0 - 2 years,Friday,11:00am - 11:30am,Menai Library,"Allison Cres, Menai NSW 2234",AEDT,Not available in school holidays or public holidays
NSW,Sutherland Shire Council,Rhyme Time,infant_session,"Rhymetime is a fun, free and interactive session that helps to promote your child’s early language skills and literacy through simple stories, singing rhymes and finger puppet play.",0 - 2 years,Wednesday,2:00pm - 2:30pm,Engadine Library,"116E Caldarra Ave, Engadine NSW 2233",AEDT,Not available in school holidays or public holidays
NSW,Sutherland Shire Council,Rhyme Time,infant_session,"Rhymetime is a fun, free and interactive session that helps to promote your child’s early language skills and literacy through simple stories, singing rhymes and finger puppet play.",0 - 2 years,Tuesday,11:00am - 11:30am,Sylvania Library,"Southgate Shopping Centre, Port Hacking Rd, Sylvania NSW 2224",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Storytime with songs and rhymes for babies and toddlers.,0 - 2 years,Wednesday,10:30am - 11:00am,Carlingford Library,"10-14 Charles Street, Carlingford NSW 2118",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Early literacy session for babies and toddlers.,0 - 2 years,Wednesday,10:30am - 11:00am,Epping Library,"1 Oxford Street, Epping NSW 2121",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Early literacy session for babies and toddlers.,0 - 2 years,Wednesday,10:30am - 11:00am,Parramatta Library,"1-3 Fitzwilliam Street, Parramatta NSW 2150",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Early literacy session for babies and toddlers.,0 - 2 years,Thursday,2:00pm - 2:30pm,Parramatta Library,"1-3 Fitzwilliam Street, Parramatta NSW 2150",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Storytime for babies and toddlers with songs and rhymes.,0 - 2 years,Tuesday,10:30am - 11:00am,Wentworth Point Community Centre & Library,"1 Burroway Road, Wentworth Point NSW 2127",AEDT,Not available in school holidays or public holidays
NSW,Parramatta City Council,Bibs and Books,infant_session,Storytime for babies and toddlers with songs and rhymes.,0 - 2 years,Wednesday,10:30am - 11:00am,Wentworth Point Community Centre & Library,"1 Burroway Road, Wentworth Point NSW 2127",AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Tuesday,10:00am - 10:30am,Mullumbimby Library,55 Dalley Street Mullumbimby NSW 2482,AEDT,Not available in school holidays or public holidays
